,course_name,course_rating,earn_skills,course_link,institution,metadata
0,Google Cybersecurity,4.8,"Skills you'll gain: Network Security, Python Programming, Linux, Cloud Computing, Algorithms, Computer Programming, Computer Security Incident Management, Cryptography, Databases, Leadership and Management, Network Architecture, Risk Management, SQL",Google Cybersecurity,Google,Beginner Professional Certificate 3 - 6 Months
1,Google Data Analytics,4.8,"Skills you'll gain: Data Analysis, R Programming, SQL, Business Communication, Spreadsheet Software, Business Analysis, Data Visualization, Data Management, General Statistics, Big Data, Communication, Computer Programming, Data Science, Data Visualization Software, Databases, Exploratory Data Analysis, Extract, Transform, Load, Leadership and Management, Microsoft Excel, Problem Solving, Small Data, Statistical Programming, Tableau Software",Google Data Analytics,Google,Beginner Professional Certificate 3 - 6 Months
2,Google Project Management:,4.8,"Skills you'll gain: Project Management, Strategy and Operations, Leadership and Management, Communication, Business Communication, Collaboration, Agile Software Development, Software Engineering, Entrepreneurship, Scrum (Software Development), Planning, Supply Chain and Logistics, Change Management, Finance, Organizational Development, Product Management, Risk Management, Budget Management, Influencing, Culture, Emotional Intelligence, People Management, Problem Solving, Procurement",Google Project Management:,Google,Beginner Professional Certificate 3 - 6 Months
3,IBM Data Science,4.8,"Skills you'll gain: Python Programming, Machine Learning, Data Science, Data Analysis, Algorithms, Data Management, Data Visualization, Human Learning, R Programming, Business Analysis, Computer Programming, Data Structures, Database Application, Databases, Deep Learning, Exploratory Data Analysis, Machine Learning Algorithms, Plot (Graphics), SQL, Data Model, Statistical Machine Learning, General Statistics, Probability & Statistics, Regression, Reinforcement Learning, Statistical Programming, Big Data, Cloud Computing, Data Mining, IBM Cloud, Writing",IBM Data Science,IBM,Beginner Professional Certificate 3 - 6 Months
4,Google Digital Marketing & E-commerce,4.8,"Skills you'll gain: Digital Marketing, Marketing, Marketing Management, Media Strategy & Planning, Sales, E-Commerce, Data Analysis, Social Media, Search Engine Optimization, Advertising, Communication, Persona Research, Strategy, Web Design, Web Development, Web Development Tools, Writing, Data Management, Market Analysis",Google Digital Marketing & E-commerce,Google,Beginner Professional Certificate 3 - 6 Months
5,IBM Data Analyst,4.8,"Skills you'll gain: Python Programming, Microsoft Excel, Data Visualization, Data Analysis, Spreadsheet Software, Data Management, Data Structures, Databases, Exploratory Data Analysis, SQL, Plot (Graphics), Business Analysis, Machine Learning, Computer Programming, Database Application, Statistical Visualization, Data Mining, Data Science, General Statistics, NoSQL, R Programming, Cloud Computing, Data Visualization Software, IBM Cloud, Interactive Data Visualization, Machine Learning Algorithms, Probability & Statistics, Regression, Statistical Programming",IBM Data Analyst,IBM,Beginner Professional Certificate 3 - 6 Months
6,Google IT Support,4.8,"Skills you'll gain: Computer Networking, Network Architecture, Network Model, Networking Hardware, Network Analysis, Computer Architecture, Critical Thinking, Problem Solving, Communication, Human Computer Interaction, Network Security, Linux, System Security, Cloud Computing, Computer Programming, Customer Support, Cryptography, Leadership and Management, Operating Systems",Google IT Support,Google,Beginner Professional Certificate 3 - 6 Months
7,Google UX Design,4.8,"Skills you'll gain: User Experience, User Experience Design, User Research, Audit, Collaboration, Human Computer Interaction, Planning, Product Design, Product Development, Social Media, Web Design, Web Development Tools",Google UX Design,Google,Beginner Professional Certificate 3 - 6 Months
8,Machine Learning,4.8,"Skills you'll gain: Machine Learning, Machine Learning Algorithms, Applied Machine Learning, Algorithms, Deep Learning, Machine Learning Software, Artificial Neural Networks, Human Learning, Statistical Machine Learning, Python Programming, Regression, Mathematics, Tensorflow, Critical Thinking, Network Model, Reinforcement Learning",Machine Learning,Multiple educators,Beginner Specialization 1 - 3 Months
9,Introduction to Data Science,4.8,"Skills you'll gain: Data Science, Python Programming, Data Analysis, Data Management, R Programming, Business Analysis, Computer Programming, Data Structures, Database Application, Databases, SQL, Data Model, Machine Learning, Statistical Machine Learning, Big Data, Cloud Computing, Data Mining, Deep Learning, IBM Cloud, Regression, Writing",Introduction to Data Science,IBM,Beginner Specialization 3 - 6 Months
10,IBM DevOps and Software Engineering,4.8,"Skills you'll gain: DevOps, Software Engineering, Cloud Computing, Computer Programming, Application Development, Python Programming, Software Architecture, Cloud Applications, Continuous Delivery, Continuous Integration, Software Engineering Tools, Agile Software Development, Programming Principles, Security Engineering, Software Testing, Cloud Infrastructure, Kubernetes, Cloud-Based Integration, Microarchitecture, Cloud Platforms, Communication, IBM Cloud, Scrum (Software Development), Software Security, Cloud Storage, Docker (Software), Linux, Product Management, User Experience Design, Collaboration, Leadership and Management, Data Analysis, Mergers & Acquisitions",IBM DevOps and Software Engineering,IBM,Beginner Professional Certificate 3 - 6 Months
11,IBM Applied AI,4.8,"Skills you'll gain: Machine Learning, Deep Learning, Machine Learning Algorithms, Artificial Neural Networks, Python Programming, Cloud Computing, Computer Vision, Human Learning, IBM Cloud, Human Computer Interaction, Applied Machine Learning, Algorithms, Machine Learning Software, Natural Language Processing, Computer Programming, Cloud API, Cloud Applications, Computer Programming Tools, Application Development, Visualization (Computer Graphics), Data Analysis, Cloud-Based Integration, User Experience Design, Customer Analysis, Data Science",IBM Applied AI,IBM,Beginner Professional Certificate 3 - 6 Months
12,Data Science Fundamentals with Python and SQL,4.6,"Skills you'll gain: Python Programming, Data Analysis, General Statistics, Probability & Statistics, Basic Descriptive Statistics, Statistical Analysis, Statistical Tests, Mathematical Theory & Analysis, Statistical Programming, Computer Programming, Data Visualization, Data Science, Probability Distribution, R Programming, Business Analysis, Data Management, Data Structures, Database Application, Databases, SQL, Cloud Computing, IBM Cloud",Data Science Fundamentals with Python and SQL,IBM,Beginner Specialization 3 - 6 Months
13,IBM Full Stack Software Developer,4.6,"Skills you'll gain: Cloud Computing, Python Programming, Cloud Applications, IBM Cloud, Application Development, Computer Programming, Cloud Infrastructure, DevOps, Web Development, Cloud Platforms, Javascript, Cloud Management, Cloud-Based Integration, Software Architecture, Cloud API, Full-Stack Web Development, Software Engineering, Cloud Storage, Continuous Delivery, Continuous Integration, Software As A Service, Microarchitecture, Django (Web Framework), Database Application, Databases, Docker (Software), Kubernetes, SQL, Software Engineering Tools, Data Management, NoSQL, Collaboration, Computer Science, Data Analysis, Front-End Web Development, Leadership and Management, Mergers & Acquisitions, React (web framework)",IBM Full Stack Software Developer,IBM,Beginner Professional Certificate 3 - 6 Months
14,Key Technologies for Business,4.6,"Skills you'll gain: Algorithms, Applied Machine Learning, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Cloud Computing, Human Computer Interaction, Big Data, Data Analysis, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, DevOps, Data Mining, IBM Cloud, Data Science, Regression, Writing",Key Technologies for Business,IBM,Beginner Specialization 3 - 6 Months
15,IBM Data Engineering,4.6,"Skills you'll gain: Data Management, Databases, Database Administration, Extract, Transform, Load, SQL, Python Programming, Big Data, Apache, Database Design, Database Application, Data Architecture, Data Structures, Distributed Computing Architecture, NoSQL, Data Model, Data Warehousing, Cloud Computing, Database Theory, Data Engineering, Data Visualization, Computer Programming, Cloud Storage, Computer Programming Tools, IBM Cloud, Data Mining, Machine Learning, Cloud Applications, Data Analysis, Data Analysis Software, Leadership and Management, PostgreSQL, Business Analysis, Kubernetes, Business Intelligence, Data Visualization Software, Linux, Network Security, Statistical Programming, Data Science",IBM Data Engineering,IBM,Beginner Professional Certificate 3 - 6 Months
16,IBM & Darden Digital Strategy,4.6,"Skills you'll gain: Business Analysis, Business Transformation, Strategy, Data Analysis, Cloud Computing, Strategy and Operations, Applied Machine Learning, Data Visualization, Deep Learning, Entrepreneurship, Leadership and Management, Research and Design, Algorithms, Artificial Neural Networks, Computer Vision, Human Learning, Innovation, Machine Learning, Machine Learning Algorithms, Machine Learning Software, Marketing, Sales, Data Structures, Human Computer Interaction, Market Analysis, Business Design, Business Development, Customer Analysis, Product Strategy, Data Management, Data Mining, Databases, Python Programming, SQL, Cloud Applications, Cloud Infrastructure, Cloud Platforms, Cloud Storage, Data Science, DevOps, IBM Cloud, NoSQL, R Programming, Microsoft Excel",IBM & Darden Digital Strategy,University of Virginia Darden School Foundation,Beginner Specialization 3 - 6 Months
17,Data Engineering Foundations,4.6,"Skills you'll gain: Data Management, Python Programming, Data Structures, Databases, Data Engineering, Database Application, SQL, Database Administration, Database Design, Extract, Transform, Load, Computer Programming, Data Architecture, Database Theory, Data Mining, Data Model, Data Analysis, Leadership and Management, Data Warehousing, PostgreSQL, Big Data, Business Analysis, IBM Cloud, Network Security, NoSQL, Cloud Computing, Data Science",Data Engineering Foundations,IBM,Beginner Specialization 3 - 6 Months
18,Applied Data Science,4.6,"Skills you'll gain: Python Programming, Data Analysis, Machine Learning, Algorithms, Computer Programming, Data Science, Data Visualization, Exploratory Data Analysis, General Statistics, Machine Learning Algorithms, Plot (Graphics), Probability & Statistics, Regression, Statistical Programming",Applied Data Science,IBM,Beginner Specialization 3 - 6 Months
19,IBM Data Analytics with Excel and R,4.6,"Skills you'll gain: Data Analysis, R Programming, Computer Programming, Data Visualization, Data Management, Statistical Programming, Databases, Exploratory Data Analysis, Plot (Graphics), Data Analysis Software, Data Structures, Statistical Analysis, Statistical Visualization, Basic Descriptive Statistics, Microsoft Excel, SQL, General Statistics, Interactive Data Visualization, Database Application, Extract, Transform, Load, Visualization (Computer Graphics), Spreadsheet Software, Database Design, Database Theory, Programming Principles, Data Model, Database Administration, Computer Programming Tools, Data Mining, Data Visualization Software, Visual Design, Business Analysis, Python Programming, Data Science, NoSQL",IBM Data Analytics with Excel and R,IBM,Beginner Professional Certificate 3 - 6 Months
20,IBM AI Foundations for Business,4.6,"Skills you'll gain: Machine Learning, Data Analysis, Applied Machine Learning, Data Management, Leadership and Management, Machine Learning Algorithms, Algorithms, Artificial Neural Networks, Computer Vision, Deep Learning, Human Learning, Machine Learning Software, Business Process Management, Data Architecture, Strategy and Operations, Human Computer Interaction, Business Analysis, Business Transformation, Strategy, Big Data, Innovation, Data Mining, Data Science, Regression, Writing",IBM AI Foundations for Business,IBM,Beginner Specialization 1 - 3 Months
21,Data Analysis and Visualization Foundations,4.6,"Skills you'll gain: Microsoft Excel, Data Visualization, Spreadsheet Software, Data Analysis, Plot (Graphics), Business Analysis, Data Management, Data Structures, Databases, Python Programming, SQL, Statistical Visualization, Data Mining, Data Science, Interactive Data Visualization, NoSQL, R Programming, Data Visualization Software",Data Analysis and Visualization Foundations,IBM,Beginner Specialization 3 - 6 Months
22,IBM Back-End Development,4.6,"Skills you'll gain: Application Development, Software Engineering, Python Programming, Computer Programming, Software Architecture, DevOps, Software Engineering Tools, Cloud Applications, Cloud Computing, Security Engineering, Programming Principles, Web Development, Cloud Infrastructure, Cloud-Based Integration, Microarchitecture, Agile Software Development, Communication, IBM Cloud, Kubernetes, Software Security, Cloud Platforms, Data Management, Database Application, Databases, Docker (Software), Linux, Product Management, SQL, User Experience Design, Collaboration, Django (Web Framework), Leadership and Management, Data Analysis, Mergers & Acquisitions",IBM Back-End Development,IBM,Beginner Professional Certificate 3 - 6 Months
23,Applied Software Engineering Fundamentals,4.6,"Skills you'll gain: Python Programming, Computer Programming, Software Engineering, Application Development, Programming Principles, Software Architecture, Software Engineering Tools, Agile Software Development, Communication, Product Management, User Experience Design, Collaboration, Leadership and Management, Linux, Data Analysis, Mergers & Acquisitions",Applied Software Engineering Fundamentals,IBM,Beginner Specialization 3 - 6 Months
24,Deep Learning,4.8,"Skills you'll gain: Machine Learning, Deep Learning, Artificial Neural Networks, Machine Learning Algorithms, Applied Machine Learning, Python Programming, Machine Learning Software, Network Model, Algorithms, Computer Programming, Computer Vision, Network Architecture, Natural Language Processing, Tensorflow, Human Learning, Data Analysis, Data Model, Organizational Development, Process Analysis, Strategy, Mathematics, Mathematical Theory & Analysis, Linear Algebra, Regression, Calculus",Deep Learning,DeepLearning.AI,Intermediate Specialization 3 - 6 Months
25,AI Foundations for Everyone,4.8,"Skills you'll gain: Human Learning, Machine Learning, Artificial Neural Networks, Deep Learning, Machine Learning Algorithms, Human Computer Interaction, Natural Language Processing, Algorithms, Applied Machine Learning, Cloud Computing, Computer Vision, IBM Cloud, Machine Learning Software, Customer Analysis, Computer Programming, Data Science",AI Foundations for Everyone,IBM,Beginner Specialization 3 - 6 Months
26,Prompt Engineering,4.8,"Skills you'll gain: Creativity, Data Analysis, Problem Solving, Writing",Prompt Engineering,Vanderbilt University,Beginner Specialization 1 - 3 Months
