job_post,company,company_rating,company_review,exp_required,salary_offered,job_location,job_description,required_skills,posted_on,
AWS Glue Engineer,Cognizant,3.9,31515 Reviews,3-8 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR",Responsibilities As a Data Engineer - Data Governance & Architecture team you will work...,"aws glue
pyspark
aws
glue",2 Days Ago,
CN - Comms & Media - Salesforce - Consultant,Accenture,4.1,34572 Reviews,6-9 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Delhi / NCR, Bangalore/Bengaluru","Then, Accenture Strategy and Consulting is the right place for you to explore limitless...","Business intelligence
Visual Force
Agile
Aura
Salesforce
demandware
management consulting
intelligence",2 Days Ago,
Technical Program Manager,Paytm,3.6,4059 Reviews,6-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Pune, Gurgaon/Gurugram, Bangalore/Bengaluru","Program definition and scoping, owning the program plan and the deliverables required f...","Program Management
JIRA
technical
program
technical program management
management",2 Days Ago,
Python developer working on Astronomer Airflow on AWS cloud,Hexaware Technologies,3.7,3371 Reviews,4-9 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Pune, Chennai, Bangalore/Bengaluru",Scripting experience for data transformation and job scheduling using Python Scripts in...,"Airflow
Aws Cloud
Python Development
development
python
aws
cloud",2 Days Ago,
Urgently looking For Immediate Joiner -Windows VM ware Administrator,Hexaware Technologies,3.7,3371 Reviews,4-9 Yrs,Not disclosed,"Temp. WFH - Mumbai (All Areas), Navi Mumbai, Pune, Chennai, Bangalore/Bengaluru, Delhi / NCR","Roles and Responsibilities Prioritize, align and schedule OS and other infrastructure c...","Powershell
vmware
Troubleshooting
prism
uipath
vm
rpa
vsphere",2 Days Ago,
Lead Consultant,Birlasoft,3.8,1597 Reviews,5-7 Yrs,8-18 Lacs PA,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","2+ years of experience in working on Web API and MVC framework In azure, mostly the wor...","Web Api
asp.net
azure
query
ssis
sql
microsoft azure
oops",2 Days Ago,
Sales Executive,Arvind Limited,4.2,1923 Reviews,3-7 Yrs,Not disclosed,"Mumbai (All Areas), Dahej, Vapi, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru",Freezing the exact requirement and collecting the information from customer before offe...,"Lead Generation
New Business Development
generation
development
sales executive activities
business development
sales lead generation
new business",2 Days Ago,
Sales Manager - Salaried Personal Loans,Kotak Mahindra Bank,3.9,10644 Reviews,1-6 Yrs,3.5-8.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Job Requirements : . Qualification - Graduate from a recognized University, preferably ...","Sales
Personal Loans
sales management
spl
unsecured loans
personal
management
business loan",2 Days Ago,
Sr. Solution Architect GCP,Citiustech,3.9,818 Reviews,12-14 Yrs,Not disclosed,"Mumbai, Hyderabad/Secunderabad, Pune, Chennai, Gurgaon/Gurugram, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactivelycollaborate with business teams to e...,"development
cloud computing
computation
cloud
billing
automation
agile
performance",5 Days Ago,
Delivery Coordinator,NCR Corporation,4.1,1013 Reviews,4-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Executes Order Change activities in ERP. Maintain accuracy of the Scheduled Arrival Dat...,"supply chain
management
erp
delivery coordination
application
inventory
delivery
excel",6 Days Ago,
Module Lead,IGT Solutions,3.5,1443 Reviews,8-10 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Certifications in different technologies will be preferred . Minimum 8 years of experie...,"software development life cycle
analytics
software
troubleshooting
life cycle
debugging
development life cycle
coding",6 Days Ago,
Team Lead - Merchant Lending,Paytm,3.6,4059 Reviews,3-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Willingness to experiment and improve continuously Education- Graduation Should have go...,"financial services
relationship building
training
relationship
team leading
revenue generation
office
networking",6 Days Ago,
Growth Analyst - Senior Associate/Junior Manager,Paytm,3.6,4059 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Familiarity with visualization tools like Tableau / Data Studio / Looker etc . Good pro...,"sql
management
optimization
query optimization
analytics
technology management
hive
senior",6 Days Ago,
Service Delivery Manager,AMERICAN EXPRESS,4.4,2049 Reviews,3-8 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Minimum Qualifications . Service Delivery: . A minimum of 10+ years of experience in th...,"management
rca
system design
service delivery management
design
change management
system
delivery",6 Days Ago,
GCP Architect,CitiusTech Healthcare Technology Private Limited,3.9,817 Reviews,10-18 Yrs,Not disclosed,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Bangalore/Bengaluru",The GCP Cost Optimization engineer must proactively collaborate with business teams to ...,"Cost Optimization
reporting tools
Devops
Gcp Cloud
reporting
cloud
cost
architecture",6 Days Ago,
Qliksense Developer,Cognizant,3.9,31515 Reviews,6-11 Yrs,11-21 Lacs PA,"Mumbai (All Areas), Kochi/Cochin, Kolkata, Hyderabad/Secunderabad, Pune, Gurgaon/Gurugram, Chennai, Coimbatore, Bangalore/Bengaluru",Tune data loads and Qlik Sense application for efficient performance. PRIMARY SKILLS : ...,"Qlik Sense Development
qlikview
qlik
development",6 Days Ago,
Vulnerability management Analyst,Atos,4,670 Reviews,2-6 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Expert Engineer role for the VM Operations team. The role requires the resource to perf...,"senior
management
security
vulnerability management
Senior Analyst
Vulnerability",7 Days Ago,
Account Manager III,Panasonic Avionics,5,7 Reviews,7-9 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Assist in the management of regional budget and helps the management team establish sal...,"management
customer service
business operations
technical
customer satisfaction
sales
accounting
aviation",1 Day Ago,
Urgent Opening For Tendering Executive -Pan India,IRCLASS Systems & Solutions Pvt Ltd,3.9,100 Reviews,2-5 Yrs,Not disclosed,"Mumbai (All Areas), Kolkata, Bhopal, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru, Vadodara",We have an Urgent Requirement for Tendering Profile. BE / BTech (Civil) with minimum 2 ...,"Bidding
Proposals
RFP
pan
tendering",1 Day Ago,
Lead Consultant,Birlasoft,3.8,1597 Reviews,5-7 Yrs,8-18 Lacs PA,"Hybrid - Mumbai (All Areas), Noida, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","2+ years of experience in working on Web API and MVC framework In azure, mostly the wor...","Web Api
asp.net
azure
query
ssis
sql
microsoft azure
oops",2 Days Ago,
Sales Executive,Arvind Limited,4.2,1923 Reviews,3-7 Yrs,Not disclosed,"Mumbai (All Areas), Dahej, Vapi, Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Bangalore/Bengaluru",Freezing the exact requirement and collecting the information from customer before offe...,"Lead Generation
New Business Development
generation
development
sales executive activities
business development
sales lead generation
new business",2 Days Ago,
Sales Manager - Salaried Personal Loans,Kotak Mahindra Bank,3.9,10644 Reviews,1-6 Yrs,3.5-8.5 Lacs PA,"Mumbai (All Areas), Kolkata, Hyderabad/Secunderabad, Pune, Ahmedabad, Chennai, Bangalore/Bengaluru, Delhi / NCR","Job Requirements : . Qualification - Graduate from a recognized University, preferably ...","Sales
Personal Loans
sales management
spl
unsecured loans
personal
management
business loan",2 Days Ago,
Sr.Manager/Manager - SAP MM,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Materials Management module of SAP ERP environment and SAP S4 ...,"mm
sap implementation
warehouse
change management
sap
modeling
sap ecc
data modeling",3 Days Ago,
Medical Writing Quality Reviewer,Pfizer,4.1,1507 Reviews,5-7 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru","At minimum Bachelor degree, preferably in a life science disciplineAdvanced degree pref...","improvement
pharmaceutical
process improvement
word
publishing
clinical
medical
microsoft",3 Days Ago,
Sr.Manager/Manager - SAP SD,Tata Chemicals,4.2,1638 Reviews,2-4 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in Sales & Distribution module of SAP ERP environment and SAP S4 ...,"sd
ecc
erp
management
supply chain
modeling
data modeling
sap sd",3 Days Ago,
Sr.Manager/Manager - SAP FICO,Tata Chemicals,4.2,1638 Reviews,2-5 Yrs,Not disclosed,"Kolkata, Mumbai, New Delhi, Hyderabad/Secunderabad, Pune, Chennai, Bangalore/Bengaluru",Should be well versed in FICO and its sub-modules of SAP ERP environment and SAP S4 HAN...,"fico
sap fico
analytics
data
ecc
sap
operations
change",3 Days Ago,
